date,predictor,responder
1/1/2023,0.5596016944,-1.429730619
1/2/2023,-0.4091613979,3.766849523
1/3/2023,0.09903796901,-2.369337751
1/4/2023,-0.2681455631,1.794026624
1/5/2023,0.1997719721,-0.06936989439
1/6/2023,0.748802511,-0.7813079563
1/7/2023,0.02534389325,1.209394375
1/8/2023,-0.8790938607,2.499780204
1/9/2023,0.1542909291,2.09581717
1/10/2023,0.6628010468,0.8325783799
1/11/2023,0.5456764591,-2.807551654
1/12/2023,0.3580535235,-3.3665704
1/13/2023,-0.7166366989,3.909825897
1/14/2023,-0.2651226149,-1.54849641
1/15/2023,0.9666549661,1.433806875
1/16/2023,0.9989504735,1.205349611
1/17/2023,-0.5403386292,-2.957506585
1/18/2023,-0.6451458527,-0.9101952741
1/19/2023,-0.9922255155,-0.6862677132
1/20/2023,0.8626439311,5.862299052
1/21/2023,-0.8335861455,-1.370794313
1/22/2023,0.1819879285,1.746706398
1/23/2023,-0.2145713587,-0.5632023734
1/24/2023,-0.1729919184,2.537613138
1/25/2023,0.7041695465,-3.770795814
1/26/2023,-0.4544932302,-3.901766048
1/27/2023,0.6204815401,-3.216324488
1/28/2023,-0.6170155355,-3.028831475
1/29/2023,0.6161606035,-1.864688628
1/30/2023,0.4123341088,0.3128110372
1/31/2023,0.3974774216,-2.325498782
2/1/2023,0.3031583976,0.4694370431
2/2/2023,0.8191423346,-0.08211663854
2/3/2023,0.4503803579,3.085848693
2/4/2023,-0.3882206766,-1.248381764
2/5/2023,-0.3584709235,-4.274058899
2/6/2023,-0.6339596194,-1.264196948
2/7/2023,-0.1416381898,-5.161357447
2/8/2023,-0.7883683978,-0.7604758574
2/9/2023,0.205159949,-0.02757945101
2/10/2023,0.7686891761,-1.202670578
2/11/2023,0.838183943,2.876888168
2/12/2023,0.8753441675,-0.8101772742
2/13/2023,0.624722876,-3.418974829
2/14/2023,0.3733976168,-1.996390584
2/15/2023,-0.1464941942,-2.845870129
2/16/2023,0.459498759,5.06900176
2/17/2023,0.1997788827,4.887845479
2/18/2023,-0.5909667711,2.857670132
2/19/2023,0.148178085,2.735451427
2/20/2023,0.01228193558,-2.103156976
2/21/2023,-0.1940344361,-4.541906451
2/22/2023,-0.9832331959,-1.02829736
2/23/2023,0.3908281223,-2.293275965
2/24/2023,-0.03324839259,-0.6067195305
2/25/2023,0.3250901409,3.063247126
2/26/2023,0.8225740117,5.155448371
2/27/2023,-0.2330592059,-3.275274668
2/28/2023,-0.08795284187,-2.558481116
3/1/2023,-0.70454567,0.6904684421
3/2/2023,0.4280434732,-1.08149934
3/3/2023,0.3573643607,0.6534370073
3/4/2023,-0.3137430473,-3.974776325
3/5/2023,0.7785658719,5.354611922
3/6/2023,0.5719937611,3.06933703
3/7/2023,0.2222473932,4.181838999
3/8/2023,0.4428594205,3.847595509
3/9/2023,0.7997199219,5.533130905
3/10/2023,0.6548544661,-1.856109587
3/11/2023,-0.7480092761,-2.431490788
3/12/2023,-0.1866424914,-1.109856403
3/13/2023,-0.8562386509,1.894199268
3/14/2023,0.8197205702,0.446475249
3/15/2023,0.5518777747,-1.891658141
3/16/2023,0.3219292135,4.818966643
3/17/2023,-0.226333377,2.438356159
3/18/2023,-0.1515584848,1.735879176
3/19/2023,0.8946237065,-3.233300407
3/20/2023,-0.1963800539,0.9963580206
3/21/2023,0.6884130288,5.823989808
3/22/2023,0.7580601602,1.639432565
3/23/2023,0.6051620116,2.076306788
3/24/2023,0.7358059728,2.505544363
3/25/2023,-0.3520694787,-3.50302737
3/26/2023,0.1723697313,-4.672129836
3/27/2023,0.1345657172,0.4422025333
3/28/2023,0.1133609952,3.246372092
3/29/2023,0.8667595681,-3.305243307
3/30/2023,-0.7046906041,-2.366204371
3/31/2023,-0.4649214624,-3.74994029
4/1/2023,0.781160653,1.009753253
4/2/2023,-0.485633031,3.445247278
4/3/2023,-0.3726260792,0.2465625338
4/4/2023,0.06580845629,-2.576811841
4/5/2023,0.9832644981,3.28868443
4/6/2023,-0.3411008305,-1.069237026
4/7/2023,-0.5568365854,0.4663825024
4/8/2023,0.2387161395,-1.276468502
4/9/2023,-0.7036847502,-4.366350743
4/10/2023,-0.8475190249,-3.162604255
4/11/2023,-0.512344963,-4.949523386
4/12/2023,-0.2428932925,1.341968823
4/13/2023,-0.9145982121,3.410219245
4/14/2023,-0.120004183,2.760084929
4/15/2023,0.3507294619,-0.2659211804
4/16/2023,0.003912888106,-0.4267617516
4/17/2023,0.1538320475,-1.133336217
4/18/2023,-0.2203880778,-0.216283973
4/19/2023,-0.4560606866,2.059105085
4/20/2023,-0.9953645765,-4.379210446
4/21/2023,-0.6460322291,2.069382789
4/22/2023,0.09214614418,-0.5894423687
4/23/2023,-0.569540442,-1.40669772
4/24/2023,0.1198841892,1.026883397
4/25/2023,0.5844747827,-3.886026254
4/26/2023,-0.5923137252,-2.14565135
4/27/2023,-0.1513873648,2.272687486
4/28/2023,-0.884957845,-5.326755654
4/29/2023,-0.1799544816,2.869745462
4/30/2023,-0.7482796205,-6.028651652
5/1/2023,-0.4786852831,0.6500899055
5/2/2023,-0.2903473198,-4.852413173
5/3/2023,0.6028547245,-1.434505972
5/4/2023,0.1893495671,-1.851338164
5/5/2023,0.1582425953,-3.9173889
5/6/2023,-0.7732925216,1.921318062
5/7/2023,-0.2292885973,-3.225652661
5/8/2023,0.7249892142,0.5201538528
5/9/2023,0.534472973,-0.05918950996
5/10/2023,-0.4579074746,-2.36626109
5/11/2023,0.1050732507,3.005498205
5/12/2023,-0.363708649,-1.669738408
5/13/2023,0.7688007447,-2.827564268
5/14/2023,0.1770258443,5.228050168
5/15/2023,0.05279386629,1.760631158
5/16/2023,-0.1951506636,1.716022156
5/17/2023,-0.4731061337,1.003503324
5/18/2023,0.08140001549,0.7344778857
5/19/2023,0.7086745912,1.562861781
5/20/2023,0.09257437896,-0.5723750287
5/21/2023,0.9388975272,-0.9904542642
5/22/2023,0.4235197857,4.345828881
5/23/2023,0.8415978154,-2.284002438
5/24/2023,-0.6385398822,2.257800333
5/25/2023,-0.351948048,-4.360159958
5/26/2023,0.5318040532,2.280793921
5/27/2023,-0.09477990428,-4.398067963
5/28/2023,-0.6542180755,-1.399638997
5/29/2023,-0.4036576627,-2.272576955
5/30/2023,-0.9734008824,0.1803042186
5/31/2023,0.694907353,4.773988265
6/1/2023,0.759603825,1.608205518
6/2/2023,0.9051517619,-3.032286289
6/3/2023,0.1353278496,2.632258099
6/4/2023,-0.4042023799,-1.245978924
6/5/2023,-0.2412056181,-5.128904217
6/6/2023,-0.4766584694,2.798549431
6/7/2023,-0.7982212923,-1.930069307
6/8/2023,-0.7874205753,3.691091345
6/9/2023,-0.324417757,-0.6164757705
6/10/2023,0.1921365608,0.1644513189
6/11/2023,-0.5195847807,-1.06062468
6/12/2023,-0.4202224757,-5.510474124
6/13/2023,-0.1949916227,0.4229810317
6/14/2023,0.7156462153,-2.302069025
6/15/2023,0.4491661973,2.081133371
6/16/2023,0.1220405703,1.664173679
6/17/2023,0.9464615621,-2.391067003
6/18/2023,0.5278038763,3.300650761
6/19/2023,0.0792333787,-0.6784373647
6/20/2023,-0.9328715261,-0.3693275556
6/21/2023,0.3898110663,-1.537170235
6/22/2023,-0.8890368226,-2.042751147
6/23/2023,-0.2319668229,-4.680902119
6/24/2023,0.1099999355,3.388537387
6/25/2023,-0.915521242,2.039446154
6/26/2023,-0.05166052567,2.864644912
6/27/2023,0.9714653549,2.760753747
6/28/2023,-0.215394733,-3.595115316
6/29/2023,0.8411213772,0.6498759385
6/30/2023,-0.6180592783,-3.990365487
7/1/2023,0.9642816882,3.65418719
7/2/2023,-0.7793099627,0.3566015743
7/3/2023,-0.4105787577,-2.853511916
7/4/2023,0.9995832212,-0.2224110542
7/5/2023,-0.387596286,-5.089373596
7/6/2023,0.7461212401,3.23877782
7/7/2023,-0.04818839657,-3.709841226
7/8/2023,0.9890422005,5.425070054
7/9/2023,-0.4413814142,-1.336017325
7/10/2023,-0.8590513403,-3.402791738
7/11/2023,0.6917928788,4.170090578
7/12/2023,0.2743387872,0.09917366083
7/13/2023,0.8031588205,-2.378543543
7/14/2023,-0.7423822754,1.292779498
7/15/2023,-0.04317920854,3.496533057
7/16/2023,-0.811380019,-4.863585931
7/17/2023,-0.6967492777,1.990949581
7/18/2023,0.1924542235,3.855555354
7/19/2023,-0.3404211574,-3.563284707
7/20/2023,-0.05996048438,2.623962466
7/21/2023,-0.07920605091,-0.01940331605
7/22/2023,-0.7732569931,-2.663628507
7/23/2023,-0.1722262986,-1.085696285
7/24/2023,-0.8084981665,-4.143948746
7/25/2023,0.8149129362,4.115728447
7/26/2023,0.3514266208,1.213751877
7/27/2023,0.3014209442,-3.857300013
7/28/2023,-0.2979162327,1.168355565
7/29/2023,-0.7938006883,0.6685794997
7/30/2023,0.3476534551,-2.436039168
7/31/2023,0.7679164726,-3.787514407
8/1/2023,0.1674026543,-4.716831592
8/2/2023,-0.6679584484,-1.853948854
8/3/2023,0.1161066174,-2.647999019
8/4/2023,0.7990172486,2.803332424
8/5/2023,0.1481510963,3.348176516
8/6/2023,0.3675181114,2.230846104
8/7/2023,0.2312493998,1.351372661
8/8/2023,-0.7098172426,-0.4593124412
8/9/2023,0.2904737908,3.501654426
8/10/2023,-0.8960940759,0.4212815719
8/11/2023,-0.4576741105,1.650404904
8/12/2023,-0.4984424604,-2.03245388
8/13/2023,0.9188128512,3.64688578
8/14/2023,-0.7430631506,-4.134900292
8/15/2023,0.05115749403,-1.647029688
8/16/2023,-0.2387981436,-0.2483761824
8/17/2023,0.5213028654,-0.4313736351
8/18/2023,0.419510575,0.1325822783
8/19/2023,0.2674806924,-0.0686014725
8/20/2023,0.81500743,5.598243589
8/21/2023,-0.3502509228,2.574419318
8/22/2023,0.8786522679,-2.675715264
8/23/2023,0.7757733758,-0.06060120451
8/24/2023,0.7940618001,5.189246913
8/25/2023,-0.6793242444,3.093578839
8/26/2023,-0.215919834,0.9587042761
8/27/2023,-0.1567790852,-2.557195393
8/28/2023,-0.1809463038,-4.881756912
8/29/2023,0.1308842264,-0.2833501133
8/30/2023,-0.5141725037,4.135189016
8/31/2023,-0.4433242224,-0.02404607573
9/1/2023,0.3726400281,-1.957491113
9/2/2023,0.9904142387,-0.191839784
9/3/2023,0.250940111,-0.682595015
9/4/2023,0.19716783,2.48151588
9/5/2023,0.7445229975,3.721851289
9/6/2023,0.6277544311,-1.524523922
9/7/2023,-0.9756497237,-0.4673267541
9/8/2023,0.3437257117,-1.258422909
9/9/2023,-0.9096863302,-1.93525468
9/10/2023,0.8366011807,-0.6734272012
9/11/2023,-0.5833949698,-4.967513063
9/12/2023,0.5439725503,4.457801747
9/13/2023,0.9440871387,4.152060118
9/14/2023,-0.1895811968,-4.1004649
9/15/2023,-0.318795017,1.709524382
9/16/2023,-0.7028376009,1.388473806
9/17/2023,-0.6141377262,3.858685038
9/18/2023,0.8505058697,2.496597786
9/19/2023,-0.9131118424,-0.1835339706
9/20/2023,-0.4339724428,-0.9997602518
9/21/2023,0.4890665766,-3.456630822
9/22/2023,0.2352270512,3.005540211
9/23/2023,0.7952719296,3.781934005
9/24/2023,0.06700874908,-2.857641921
9/25/2023,-0.8406242509,-4.872914472
9/26/2023,0.1025220137,4.941246588
9/27/2023,-0.8781569418,-2.631139352
9/28/2023,0.1841446109,1.101272776
9/29/2023,0.02514528112,-1.069766671
9/30/2023,-0.1752439876,-1.809755715
10/1/2023,0.8883653592,5.070602098
10/2/2023,0.5100992361,-0.95667858
10/3/2023,0.6509790988,3.288991571
10/4/2023,0.5444310484,0.9910348142
10/5/2023,0.4673514344,-1.1098909
10/6/2023,0.7385102334,-3.496610235
10/7/2023,0.01980914617,4.22113435
10/8/2023,0.2912277353,2.733026788
10/9/2023,0.07432377525,1.097465385
10/10/2023,0.9150419818,-1.572672767
10/11/2023,-0.03481250169,2.661621743
10/12/2023,-0.5846968005,-2.593115356
10/13/2023,0.8811687231,2.211109757
10/14/2023,0.9002328284,-3.674067007
10/15/2023,-0.9656794318,2.238278746
10/16/2023,-0.05127842437,3.78910748
10/17/2023,0.6039640299,-1.101949702
10/18/2023,0.3054280532,3.948329514
10/19/2023,-0.8762963278,-5.992124033
10/20/2023,-0.05365151659,3.493647902
10/21/2023,-0.6387598565,0.7383871751
10/22/2023,-0.8662076488,0.3325297093
10/23/2023,-0.8469583596,2.622919885
10/24/2023,0.8594924481,0.2733839548
10/25/2023,-0.1962876125,4.649452758
10/26/2023,-0.1083994857,0.9410175943
10/27/2023,-0.970530025,-2.150527549
10/28/2023,0.5600305837,-3.395741591
10/29/2023,-0.2159001032,-4.785116057
10/30/2023,-0.969293574,3.439148371
10/31/2023,-0.7970815533,-1.593694932
11/1/2023,0.7597083092,-3.76510528
11/2/2023,0.1657250434,-4.186059838
11/3/2023,-0.7587048747,2.524184787
11/4/2023,0.2247880369,3.345705867
11/5/2023,-0.7412440205,1.634506251
11/6/2023,0.7611656852,-1.103624455
